item_id,current_global_qty,max_global_qty,global_inv_level
244,360,360,1.0
361,624,624,1.0
204,100,100,1.0
287,93,93,1.0
396,60,60,1.0
358,72,72,1.0
221,200,200,1.0
134,120,120,1.0
274,144,144,1.0
198,1728,1728,1.0
115,1344,1344,1.0
252,108,108,1.0
406,192,192,1.0
437,96,96,1.0
321,1080,1080,1.0
279,92,92,1.0
324,648,648,1.0
88,900,900,1.0
248,384,384,1.0
377,160,160,1.0
278,42,42,1.0
485,100,100,1.0
168,4368,4368,1.0
322,291,291,1.0
286,528,528,1.0
227,252,252,1.0
235,180,180,1.0
179,120,120,1.0
121,24,24,1.0
495,312,312,1.0
58,2376,2376,1.0
357,12,12,1.0
205,120,120,1.0
97,50,50,1.0
102,216,216,1.0
427,135,135,1.0
499,720,720,1.0
215,792,792,1.0
259,1296,1296,1.0
123,200,200,1.0
284,384,384,1.0
270,240,240,1.0
41,1120,1120,1.0
247,30,30,1.0
474,144,144,1.0
216,80,80,1.0
236,630,630,1.0
476,48,48,1.0
434,288,288,1.0
234,24,24,1.0
429,288,288,1.0
289,480,480,1.0
197,3456,3456,1.0
412,960,960,1.0
440,48,48,1.0
418,81,81,1.0
378,60,60,1.0
490,135,135,1.0
430,48,48,1.0
281,360,360,1.0
228,456,456,1.0
240,1248,1248,1.0
224,432,432,1.0
344,96,96,1.0
51,2352,2352,1.0
330,144,144,1.0
245,1368,1368,1.0
386,72,72,1.0
402,308,308,1.0
272,1008,1008,1.0
481,630,630,1.0
372,36,36,1.0
84,192,192,1.0
62,420,420,1.0
219,72,72,1.0
432,48,48,1.0
407,1440,1440,1.0
446,10,10,1.0
304,270,270,1.0
348,768,768,1.0
417,72,72,1.0
260,25,25,1.0
206,240,240,1.0
268,54,54,1.0
308,540,540,1.0
487,96,96,1.0
333,192,192,1.0
334,180,180,1.0
239,48,48,1.0
416,80,80,1.0
187,120,120,1.0
237,48,48,1.0
285,108,108,1.0
167,720,720,1.0
288,96,96,1.0
256,72,72,1.0
315,100,100,1.0
61,972,972,1.0
486,64,64,1.0
475,180,180,1.0
293,1320,1320,1.0
329,120,120,1.0
91,126,126,1.0
165,140,140,1.0
381,48,48,1.0
144,1800,1800,1.0
421,720,720,1.0
489,120,120,1.0
212,192,192,1.0
473,200,200,1.0
297,504,504,1.0
496,112,112,1.0
483,120,120,1.0
35,1920,1920,1.0
196,81,81,1.0
148,2160,2160,1.0
471,576,576,1.0
439,24,24,1.0
292,1152,1152,1.0
369,576,576,1.0
243,72,72,1.0
365,72,72,1.0
208,96,96,1.0
110,1680,1680,1.0
411,384,384,1.0
338,96,96,1.0
255,48,48,1.0
395,72,72,1.0
426,72,72,1.0
302,1680,1680,1.0
230,60,60,1.0
410,252,252,1.0
339,240,240,1.0
306,180,180,1.0
397,72,72,1.0
391,5,5,1.0
438,144,144,1.0
353,2160,2160,1.0
346,180,180,1.0
467,1008,1008,1.0
442,1920,1920,1.0
354,28,28,1.0
343,192,192,1.0
305,216,216,1.0
401,60,60,1.0
428,60,60,1.0
229,96,96,1.0
454,27,27,1.0
482,48,48,1.0
318,72,72,1.0
480,81,81,1.0
371,120,120,1.0
462,240,240,1.0
202,624,624,1.0
307,312,312,1.0
493,144,144,1.0
291,24,24,1.0
340,24,24,1.0
233,80,80,1.0
264,96,96,1.0
445,30,30,1.0
465,15,15,1.0
388,60,60,1.0
211,336,336,1.0
210,96,96,1.0
