order_id,order_arrival,process_start_time,order_complete_time,station_id
254,8940,8940,9090,picker-1
255,9000,9000,9100,picker-1
256,9000,9000,9110,picker-1
258,9120,9120,9193,picker-1
257,9120,9120,9209,picker-1
259,9180,9180,9356,picker-1
260,9240,9240,9377,picker-1
261,9240,9240,9408,picker-1
262,9240,9240,9439,picker-1
263,9300,9300,9449,picker-1
265,9360,9360,9552,picker-1
264,9360,9360,9572,picker-1
266,9420,9420,9583,picker-1
267,9480,9480,9593,picker-1
269,9480,9480,9634,picker-1
268,9480,9480,9644,picker-1
270,9720,9720,9779,picker-1
272,9780,9780,9832,picker-1
271,9780,9780,9839,picker-1
273,9780,9780,9878,picker-1
274,9780,9780,9889,picker-1
275,9840,9840,9930,picker-1
276,9840,9840,9971,picker-1
277,9900,9900,10002,picker-1
279,10020,10020,10110,picker-1
278,10020,10020,10131,picker-1
280,10080,10080,10183,picker-1
281,10140,10140,10193,picker-1
282,10200,10200,10259,picker-1
283,10260,10260,10329,picker-1
285,10320,10320,10391,picker-1
286,10320,10320,10432,picker-1
284,10320,10320,10452,picker-1
287,10440,10440,10519,picker-1
290,10440,10440,10549,picker-1
288,10440,10440,10580,picker-1
289,10440,10440,10590,picker-1
291,10500,10500,10621,picker-1
