robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-7,returning_pod,"(19,11)",527.0999999999658,531.1499999999652,15-12,0.0057375,1
robot-13,taking_pod,"(19,17)",550.6499999999622,554.6999999999616,15-12,0.001666875,0
robot-13,taking_pod,"(19,17)",561.5999999999606,562.3499999999605,15-15,0.0007337499999999999,0
robot-7,delivering_pod,"(4,21)",574.3499999999586,578.399999999958,15-15,0.00580125,1
robot-15,taking_pod,"(19,19)",583.9499999999572,584.5499999999571,15-15,0.0006693749999999998,0
robot-14,returning_pod,"(16,13)",591.449999999956,595.6499999999554,15-12,0.005333124999999999,1
robot-12,taking_pod,"(12,20)",623.9999999999511,624.749999999951,15-12,0.0008924999999999998,0
robot-8,taking_pod,"(18,29)",640.0499999999487,644.0999999999481,15-12,0.001666875,0
robot-6,taking_pod,"(11,10)",648.2999999999474,650.3999999999471,15-15,0.002900624999999999,1
robot-8,taking_pod,"(18,29)",650.2499999999471,650.999999999947,15-15,0.0008924999999999998,0
robot-6,taking_pod,"(11,10)",650.3999999999471,652.6499999999468,15-12,0.0023625,1
robot-4,returning_pod,"(18,13)",680.5499999999425,684.5999999999419,15-12,0.0057375,1
robot-13,taking_pod,"(10,14)",682.1999999999423,689.6999999999412,15-15,0.002149375,0
robot-7,returning_pod,"(32,14)",697.49999999994,701.3999999999394,15-12,0.005578125,1
robot-4,taking_pod,"(12,26)",699.5999999999397,703.649999999939,15-15,0.001666875,0
robot-16,returning_pod,"(31,16)",702.7499999999392,706.7999999999386,15-12,0.0057375,1
robot-17,delivering_pod,"(4,9)",708.4499999999383,712.4999999999377,15-15,0.00580125,1
robot-6,returning_pod,"(11,10)",747.5999999999324,754.4999999999313,15-12,0.005132499999999998,1
robot-6,taking_pod,"(24,17)",775.6499999999281,779.6999999999275,15-12,0.001666875,0
robot-10,delivering_pod,"(4,15)",784.4999999999268,788.5499999999262,15-15,0.00580125,1
robot-9,taking_pod,"(14,7)",789.1499999999261,791.0999999999258,15-15,0.0026774999999999993,1
robot-9,taking_pod,"(14,7)",791.0999999999258,793.0499999999255,15-12,0.0026774999999999993,1
robot-15,delivering_pod,"(4,21)",796.499999999925,800.3999999999244,15-15,0.005578125,1
robot-19,taking_pod,"(18,14)",811.4999999999227,813.7499999999224,15-15,0.0023625,1
robot-19,taking_pod,"(18,14)",813.7499999999224,817.0499999999219,15-12,0.0006787500000000001,1
robot-6,delivering_pod,"(4,21)",817.0499999999219,821.0999999999212,15-15,0.00580125,1
robot-12,taking_pod,"(11,11)",822.749999999921,823.7999999999208,15-12,0.0006987500000000002,0
robot-19,delivering_pod,"(4,21)",823.6499999999209,829.04999999992,15-15,0.0036749999999999986,0
robot-5,taking_pod,"(16,25)",832.9499999999194,833.6999999999193,15-15,0.0008924999999999998,0
robot-12,delivering_pod,"(4,9)",830.3999999999198,839.2499999999185,15-12,0.003962499999999999,0
robot-2,delivering_pod,"(4,15)",868.949999999914,873.5999999999133,15-15,0.0025593749999999996,0
robot-7,delivering_pod,"(4,15)",895.04999999991,899.0999999999094,15-15,0.00580125,1
robot-12,returning_pod,"(11,11)",901.0499999999091,905.2499999999085,15-12,0.00130125,1
robot-10,taking_pod,"(10,5)",908.099999999908,914.849999999907,15-15,0.005049374999999999,2
robot-16,taking_pod,"(11,20)",912.5999999999074,916.6499999999068,15-15,0.00543,1
robot-10,taking_pod,"(10,5)",914.849999999907,916.9499999999067,15-12,0.002836874999999999,2
robot-12,taking_pod,"(18,17)",915.149999999907,919.1999999999064,15-12,0.001666875,1
robot-2,returning_pod,"(17,16)",915.149999999907,921.299999999906,15-12,0.005572499999999998,1
robot-14,delivering_pod,"(4,21)",921.599999999906,925.6499999999054,15-15,0.00580125,1
robot-12,taking_pod,"(18,17)",925.3499999999054,926.0999999999053,15-15,0.0007337499999999999,0
robot-13,taking_pod,"(34,5)",925.3499999999054,932.8499999999043,15-12,0.002188125,0
robot-2,returning_pod,"(17,16)",934.949999999904,940.4999999999031,15-15,0.0030756249999999985,1
robot-18,delivering_pod,"(4,15)",954.749999999901,958.7999999999004,15-15,0.0057375,1
robot-2,delivering_pod,"(4,9)",988.9499999998958,992.9999999998952,15-15,0.00580125,1
robot-8,returning_pod,"(24,8)",1012.9499999998922,1016.9999999998915,15-12,0.0057375,1
robot-18,returning_pod,"(20,11)",1025.5499999998915,1029.599999999894,15-12,0.00580125,1
robot-6,delivering_pod,"(4,9)",1027.4999999998927,1031.5499999998951,15-15,0.00580125,1
robot-19,returning_pod,"(18,14)",1031.5499999998951,1035.4499999998975,15-12,0.005578125,1
robot-19,returning_pod,"(18,14)",1047.1499999999046,1051.9499999999075,15-15,0.00208875,1
robot-1,taking_pod,"(12,17)",1054.1999999999089,1058.2499999999113,15-15,0.0057375,1
robot-8,taking_pod,"(14,19)",1068.2999999999174,1072.49999999992,15-15,0.005333124999999999,1
robot-1,delivering_pod,"(4,15)",1075.4999999999218,1080.2999999999247,15-15,0.0021374999999999996,1
robot-8,delivering_pod,"(4,21)",1087.6499999999292,1092.449999999932,15-15,0.0020725,3
robot-20,delivering_pod,"(4,9)",1090.1999999999307,1094.3999999999332,15-15,0.0051606249999999985,2
robot-16,delivering_pod,"(4,21)",1092.299999999932,1096.6499999999346,15-15,0.005028749999999999,1
robot-2,returning_pod,"(29,13)",1100.549999999937,1104.5999999999394,15-12,0.0057375,1
robot-5,delivering_pod,"(4,9)",1114.1999999999452,1118.0999999999476,15-15,0.005578125,1
robot-14,delivering_pod,"(4,9)",1120.6499999999492,1124.6999999999516,15-15,0.0057375,1
robot-7,returning_pod,"(37,8)",1145.249999999964,1149.2999999999665,15-12,0.0057375,1
robot-1,taking_pod,"(23,5)",1151.849999999968,1156.3499999999708,15-15,0.0024637499999999994,0
robot-1,taking_pod,"(23,5)",1156.3499999999708,1158.449999999972,15-12,0.0027418749999999995,1
robot-10,delivering_pod,"(4,9)",1222.500000000011,1226.4000000000133,15-15,0.005578125,2
robot-16,taking_pod,"(13,7)",1224.6000000000122,1231.5000000000164,15-15,0.004965,1
robot-16,taking_pod,"(13,7)",1231.5000000000164,1233.6000000000176,15-12,0.002836874999999999,1
robot-6,taking_pod,"(12,20)",1247.7000000000262,1251.6000000000286,15-15,0.005578125,1
robot-4,returning_pod,"(26,11)",1357.5000000000928,1361.4000000000951,15-12,0.005578125,1
robot-5,returning_pod,"(31,16)",1368.1500000000992,1372.2000000001017,15-12,0.0057375,1
robot-19,taking_pod,"(20,14)",1400.1000000001186,1401.0000000001191,15-15,0.0006093750000000001,0
robot-13,returning_pod,"(36,13)",1399.5000000001182,1403.4000000001206,15-12,0.005578125,1
robot-19,delivering_pod,"(4,15)",1407.6000000001231,1414.2000000001271,15-15,0.00546,0
robot-3,taking_pod,"(11,23)",1427.4000000001352,1428.1500000001356,15-12,0.0008924999999999998,0
robot-13,taking_pod,"(20,16)",1442.8500000001445,1446.1500000001465,15-15,0.0005912500000000001,1
robot-20,returning_pod,"(35,11)",1465.200000000158,1469.2500000001605,15-12,0.00580125,1
robot-12,taking_pod,"(11,10)",1468.8000000001603,1470.7500000001614,15-15,0.0026774999999999993,1
robot-12,taking_pod,"(11,10)",1470.7500000001614,1473.0000000001628,15-12,0.00245875,1
robot-15,taking_pod,"(17,25)",1495.2000000001763,1495.8000000001766,15-15,0.0006693749999999998,0
robot-2,taking_pod,"(11,11)",1498.9500000001785,1500.9000000001797,15-15,0.0026774999999999993,1
robot-2,taking_pod,"(11,11)",1500.9000000001797,1503.150000000181,15-12,0.00242125,1
robot-2,delivering_pod,"(4,15)",1513.8000000001875,1522.650000000193,15-12,0.003962499999999999,0
robot-13,returning_pod,"(20,16)",1523.5500000001934,1527.4500000001958,15-12,0.005578125,1
robot-19,returning_pod,"(20,14)",1532.850000000199,1536.9000000002015,15-12,0.00580125,1
robot-14,taking_pod,"(10,17)",1537.0500000002016,1537.800000000202,15-12,0.0008924999999999998,0
robot-1,delivering_pod,"(4,15)",1534.9500000002004,1539.0000000002028,15-15,0.00580125,2
robot-11,delivering_pod,"(4,15)",1537.0500000002016,1541.100000000204,15-15,0.005261249999999999,1
robot-13,returning_pod,"(20,16)",1541.4000000002043,1544.7000000002063,15-15,0.00063,1
robot-12,returning_pod,"(11,10)",1554.9000000002125,1561.6500000002166,15-12,0.005049374999999999,1
robot-3,delivering_pod,"(4,15)",1565.850000000219,1569.7500000002215,15-15,0.005578125,1
robot-10,returning_pod,"(29,11)",1568.4000000002206,1572.450000000223,15-12,0.0057375,1
robot-12,taking_pod,"(13,29)",1582.200000000229,1582.8000000002294,15-12,0.0006693749999999998,0
robot-2,returning_pod,"(11,11)",1599.9000000002397,1604.1000000002423,15-12,0.0013662500000000003,1
robot-10,delivering_pod,"(4,21)",1605.7500000002433,1615.8000000002494,15-12,0.0030074999999999976,0
robot-5,taking_pod,"(10,14)",1653.7500000002724,1658.5500000002753,15-15,0.0020725,1
robot-3,returning_pod,"(29,14)",1689.0000000002938,1693.0500000002962,15-12,0.00580125,1
robot-19,returning_pod,"(23,11)",1702.0500000003017,1706.1000000003041,15-12,0.0057375,1
robot-10,returning_pod,"(12,11)",1711.0500000003071,1715.85000000031,15-12,0.00202375,1
robot-19,taking_pod,"(12,13)",1731.3000000003194,1731.9000000003198,15-12,0.0006693749999999998,0
robot-18,delivering_pod,"(4,21)",1728.3000000003176,1732.9500000003204,15-15,0.0025593749999999996,1
robot-11,delivering_pod,"(4,21)",1728.0000000003174,1735.0500000003217,15-15,0.005122499999999999,1
robot-15,delivering_pod,"(4,9)",1736.1000000003223,1740.1500000003248,15-15,0.00580125,1
robot-19,delivering_pod,"(4,9)",1738.6500000003239,1746.7500000003288,15-12,0.002975624999999998,0
robot-3,delivering_pod,"(4,9)",1743.3000000003267,1747.3500000003291,15-15,0.00580125,1
robot-5,taking_pod,"(12,4)",1792.9500000003568,1793.5500000003572,15-12,0.0006693749999999998,0
robot-7,returning_pod,"(26,10)",1808.100000000366,1812.0000000003683,15-12,0.005578125,1
robot-8,delivering_pod,"(4,9)",1818.000000000372,1821.9000000003743,15-15,0.005578125,1
robot-7,taking_pod,"(11,20)",1843.0500000003872,1847.1000000003896,15-15,0.0057375,1
robot-18,returning_pod,"(17,16)",1875.0000000004065,1878.900000000409,15-12,0.005578125,1
robot-2,returning_pod,"(24,8)",1879.050000000409,1883.1000000004115,15-12,0.00580125,1
robot-19,returning_pod,"(12,13)",1884.000000000412,1888.800000000415,15-12,0.00208875,1
robot-19,taking_pod,"(34,19)",1895.2500000004188,1896.0000000004193,15-12,0.0008924999999999998,0
robot-18,returning_pod,"(17,16)",1890.600000000416,1896.1500000004194,15-15,0.0030756249999999985,1
robot-11,returning_pod,"(31,14)",1899.6000000004215,1903.5000000004238,15-12,0.005578125,1
robot-5,taking_pod,"(20,16)",1911.0000000004284,1911.900000000429,15-15,0.0005981250000000001,0
robot-5,delivering_pod,"(4,9)",1918.500000000433,1925.100000000437,15-15,0.00546,1
robot-2,delivering_pod,"(4,9)",1923.0000000004356,1927.3500000004383,15-15,0.005092499999999999,2
robot-18,delivering_pod,"(4,9)",1925.400000000437,1929.4500000004396,15-15,0.005261249999999999,1
robot-9,returning_pod,"(36,13)",1941.1500000004467,1945.050000000449,15-12,0.005578125,1
robot-4,returning_pod,"(25,13)",1948.6500000004512,1952.5500000004536,15-12,0.005578125,1
robot-10,delivering_pod,"(4,9)",1952.8500000004537,1956.9000000004562,15-15,0.00580125,1
robot-6,taking_pod,"(10,19)",1957.8000000004567,1961.8500000004592,15-15,0.0057375,1
robot-12,taking_pod,"(26,17)",1961.1000000004587,1965.1500000004612,15-12,0.001666875,0
robot-9,delivering_pod,"(4,21)",1988.7000000004755,1995.3000000004795,15-15,0.00546,0
robot-8,returning_pod,"(22,16)",1995.3000000004795,1999.350000000482,15-12,0.0057375,1
robot-12,delivering_pod,"(4,15)",2000.4000000004826,2004.450000000485,15-15,0.00580125,1
robot-17,delivering_pod,"(4,15)",2035.0500000005036,2039.100000000506,15-15,0.00580125,1
robot-9,returning_pod,"(20,14)",2056.6500000005167,2060.550000000519,15-12,0.005578125,1
robot-5,returning_pod,"(20,16)",2062.05000000052,2066.1000000005224,15-12,0.0057375,1
robot-1,taking_pod,"(16,5)",2067.150000000523,2069.2500000005243,15-15,0.002900624999999999,1
robot-1,taking_pod,"(16,5)",2069.2500000005243,2071.2000000005255,15-12,0.0025874999999999995,1
robot-5,returning_pod,"(20,16)",2077.8000000005295,2081.1000000005315,15-15,0.00063,1
robot-16,taking_pod,"(12,20)",2120.4000000005553,2121.150000000556,15-12,0.0008924999999999998,0
robot-5,delivering_pod,"(4,9)",2120.4000000005553,2124.3000000005577,15-15,0.005578125,1
robot-18,returning_pod,"(31,16)",2131.050000000562,2135.1000000005643,15-12,0.0057375,1
robot-14,returning_pod,"(25,10)",2139.1500000005667,2143.050000000569,15-12,0.005578125,1
robot-20,returning_pod,"(38,13)",2173.2000000005874,2177.25000000059,15-12,0.0057375,1
robot-13,delivering_pod,"(4,21)",2175.600000000589,2179.6500000005913,15-15,0.00580125,1
robot-11,taking_pod,"(10,14)",2216.7000000006137,2217.450000000614,15-12,0.0007337499999999999,0
robot-19,delivering_pod,"(4,15)",2215.9500000006133,2219.8500000006156,15-15,0.005578125,1
robot-19,returning_pod,"(31,13)",2261.700000000641,2265.7500000006435,15-12,0.00580125,1
robot-12,taking_pod,"(13,20)",2276.40000000065,2280.4500000006524,15-15,0.00558375,1
robot-4,returning_pod,"(35,11)",2284.650000000655,2288.7000000006574,15-12,0.0057375,2
